season,date,time,home_team,away_team,score,venue,match_report_url,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_saves,away_saves,home_corners,away_corners,home_fouls,away_fouls,home_cards,away_cards,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_offsides,away_offsides,home_passes,away_passes,home_pass_accuracy,away_pass_accuracy,home_crosses,away_crosses,home_touches,away_touches,home_tackles,away_tackles,home_interceptions,away_interceptions,home_aerials_won,away_aerials_won,home_clearances,away_clearances,home_blocks,away_blocks,home_xg,away_xg,home_xa,away_xa,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_distance_covered,away_distance_covered,home_sprints,away_sprints,home_long_balls,away_long_balls,home_through_balls,away_through_balls,home_duels_won,away_duels_won,home_errors,away_errors
2024-2025,2025-08-15,20:00,Liverpool,Bournemouth,4–2,Anfield,https://fbref.com/en/matches/a071faa8/Liverpool-Bournemouth-August-15-2025-Premier-League,,,19,10,10,3,3,10,14,11,,,,,,,,,,,,,,,,,679,491,16,20,4,11,,,,,,,2.2,1.7,2.0,1.6,,,,,,,,,,,,,,,,
2024-2025,2025-08-16,12:30,Aston Villa,Newcastle Utd,0–0,Villa Park,https://fbref.com/en/matches/bbdf4739/Aston-Villa-Newcastle-United-August-16-2025-Premier-League,,,3,16,3,3,3,3,13,4,,,,,,,,,,,,,,,,,445,610,11,10,10,12,,,,,,,0.2,1.4,0.2,1.4,,,,,,,,,,,,,,,,
2024-2025,2025-08-16,15:00,Sunderland,West Ham,3–0,Stadium of Light,https://fbref.com/en/matches/e1058522/Sunderland-West-Ham-United-August-16-2025-Premier-League,,,10,12,5,3,3,5,12,10,,,,,,,,,,,,,,,,,457,698,14,11,8,5,,,,,,,0.7,0.6,0.4,0.5,,,,,,,,,,,,,,,,
2024-2025,2025-08-16,15:00,Tottenham,Burnley,3–0,Tottenham Hotspur Stadium,https://fbref.com/en/matches/d41bb8b3/Tottenham-Hotspur-Burnley-August-16-2025-Premier-League,,,16,14,6,4,4,6,6,8,,,,,,,,,,,,,,,,,649,380,12,6,1,7,,,,,,,2.3,0.9,1.8,0.9,,,,,,,,,,,,,,,,
2024-2025,2025-08-16,15:00,Brighton,Fulham,1–1,The American Express Stadium,https://fbref.com/en/matches/57c49bae/Brighton-and-Hove-Albion-Fulham-August-16-2025-Premier-League,,,9,7,3,2,2,4,12,4,,,,,,,,,,,,,,,,,559,530,17,15,10,2,,,,,,,0.8,0.7,0.7,0.4,,,,,,,,,,,,,,,,
2024-2025,2025-08-16,17:30,Wolves,Manchester City,0–4,Molineux Stadium,https://fbref.com/en/matches/8613020d/Wolverhampton-Wanderers-Manchester-City-August-16-2025-Premier-League,,,9,15,3,4,4,3,11,9,,,,,,,,,,,,,,,,,528,701,25,18,4,8,,,,,,,0.5,2.5,0.4,2.2,,,,,,,,,,,,,,,,
